,age,job,marital,education,housing,loan
0,56,housemaid,married,basic.4y,no,no
1,57,services,married,high.school,no,no
2,37,services,married,high.school,yes,no
3,40,admin.,married,basic.6y,no,no
4,56,services,married,high.school,no,yes
5,45,services,married,basic.9y,no,no
6,59,admin.,married,professional.course,no,no
7,41,blue-collar,married,unknown,no,no
8,24,technician,single,professional.course,yes,no
9,25,services,single,high.school,yes,no
10,41,blue-collar,married,unknown,no,no
11,25,services,single,high.school,yes,no
12,29,blue-collar,single,high.school,no,yes
13,57,housemaid,divorced,basic.4y,yes,no
14,35,blue-collar,married,basic.6y,yes,no
15,54,retired,married,basic.9y,yes,yes
16,35,blue-collar,married,basic.6y,yes,no
17,46,blue-collar,married,basic.6y,yes,yes
18,50,blue-collar,married,basic.9y,yes,yes
19,39,management,single,basic.9y,no,no
20,30,unemployed,married,high.school,no,no
21,55,blue-collar,married,basic.4y,yes,no
22,55,retired,single,high.school,yes,no
23,41,technician,single,high.school,yes,no
24,37,admin.,married,high.school,yes,no
25,35,technician,married,university.degree,no,yes
26,59,technician,married,unknown,yes,no
27,39,self-employed,married,basic.9y,no,no
28,54,technician,single,university.degree,no,no
29,55,unknown,married,university.degree,unknown,unknown
30,46,admin.,married,unknown,no,no
31,59,technician,married,unknown,yes,no
32,49,blue-collar,married,unknown,no,no
33,54,management,married,basic.4y,yes,no
34,54,blue-collar,divorced,basic.4y,no,no
35,55,unknown,married,basic.4y,yes,no
36,34,services,married,high.school,no,no
37,52,technician,married,basic.9y,yes,no
38,41,admin.,married,university.degree,yes,no
39,56,technician,married,basic.4y,yes,no
40,58,management,unknown,university.degree,yes,no
41,32,entrepreneur,married,high.school,yes,no
42,38,admin.,single,professional.course,no,no
43,57,admin.,married,university.degree,no,yes
44,44,admin.,married,university.degree,yes,no
45,42,technician,single,professional.course,no,no
46,57,admin.,married,university.degree,yes,yes
47,40,blue-collar,married,basic.9y,no,yes
48,35,admin.,married,university.degree,yes,no
49,45,blue-collar,married,basic.9y,yes,no
50,54,admin.,married,high.school,no,no
51,39,housemaid,married,basic.4y,no,yes
52,60,admin.,married,high.school,no,no
53,53,admin.,single,professional.course,no,no
54,55,blue-collar,married,basic.4y,no,no
55,55,technician,married,professional.course,yes,no
56,50,management,married,university.degree,no,yes
57,45,services,married,high.school,yes,no
58,55,unemployed,married,professional.course,yes,yes
59,25,technician,single,university.degree,yes,no
60,47,entrepreneur,married,university.degree,no,no
61,51,blue-collar,married,basic.9y,yes,no
62,42,blue-collar,married,basic.6y,yes,no
63,42,blue-collar,married,basic.6y,no,no
64,48,admin.,married,high.school,no,no
65,37,admin.,married,university.degree,no,no
66,44,blue-collar,single,basic.9y,yes,no
67,33,admin.,married,unknown,yes,no
68,56,admin.,married,basic.9y,yes,no
69,44,blue-collar,single,basic.4y,yes,yes
70,41,management,married,basic.6y,no,no
71,44,management,divorced,university.degree,yes,no
72,47,admin.,married,university.degree,yes,no
73,57,unknown,married,unknown,no,no
74,37,admin.,married,university.degree,yes,no
75,41,blue-collar,divorced,basic.4y,yes,no
76,55,technician,married,university.degree,no,no
77,33,services,married,high.school,yes,no
78,55,management,married,unknown,yes,no
79,42,blue-collar,married,basic.9y,no,no
80,50,blue-collar,married,basic.4y,yes,no
81,51,blue-collar,married,basic.4y,unknown,unknown
82,38,admin.,married,high.school,no,no
83,49,entrepreneur,married,university.degree,yes,no
84,38,technician,single,university.degree,no,yes
85,31,admin.,divorced,high.school,no,no
86,41,management,married,basic.6y,no,no
87,39,admin.,married,university.degree,yes,yes
88,49,technician,married,basic.9y,no,no
89,34,admin.,married,high.school,yes,no
90,35,admin.,married,university.degree,yes,no
91,57,unknown,married,unknown,yes,no
92,60,admin.,married,unknown,no,yes
93,33,unemployed,married,basic.9y,no,no
94,42,blue-collar,married,basic.6y,no,yes
95,45,services,married,professional.course,yes,no
96,42,management,married,university.degree,no,no
97,53,admin.,divorced,university.degree,no,no
98,37,technician,single,professional.course,no,no
99,44,blue-collar,married,basic.6y,no,no
100,54,services,married,unknown,yes,no
101,49,blue-collar,married,basic.4y,no,no
102,54,services,married,unknown,no,no
103,52,admin.,divorced,university.degree,no,no
104,52,admin.,divorced,university.degree,no,no
105,43,services,single,high.school,no,no
106,34,housemaid,married,basic.6y,yes,no
107,35,admin.,married,high.school,yes,no
108,42,entrepreneur,married,unknown,yes,no
109,43,technician,married,unknown,yes,yes
110,60,retired,divorced,university.degree,no,no
111,58,unemployed,married,basic.4y,no,no
112,35,services,divorced,high.school,yes,no
113,55,blue-collar,married,basic.9y,yes,no
114,37,management,married,university.degree,no,no
115,36,blue-collar,married,high.school,no,no
116,52,admin.,divorced,university.degree,no,no
117,57,blue-collar,divorced,unknown,yes,no
118,56,admin.,married,unknown,yes,no
119,48,blue-collar,divorced,basic.4y,yes,no
120,40,blue-collar,married,high.school,yes,no
121,49,blue-collar,divorced,high.school,no,no
122,41,services,married,high.school,no,no
123,45,technician,married,high.school,yes,no
124,32,admin.,married,university.degree,yes,yes
125,42,admin.,married,university.degree,no,yes
126,50,admin.,married,basic.6y,no,no
127,31,technician,divorced,professional.course,yes,yes
128,56,retired,married,basic.4y,yes,no
129,41,technician,married,professional.course,yes,no
130,37,blue-collar,married,basic.6y,yes,yes
131,41,technician,married,professional.course,no,no
132,35,blue-collar,married,unknown,yes,no
133,37,blue-collar,married,basic.6y,yes,no
134,52,management,married,university.degree,no,no
135,39,management,divorced,university.degree,no,no
136,39,housemaid,married,basic.4y,no,no
137,56,blue-collar,married,basic.4y,no,no
138,34,services,married,high.school,yes,no
139,45,blue-collar,married,basic.9y,yes,no
140,43,unemployed,single,university.degree,yes,no
141,56,management,married,unknown,yes,no
142,39,management,married,university.degree,yes,no
143,53,blue-collar,married,basic.4y,yes,no
144,38,unknown,divorced,high.school,yes,no
145,42,blue-collar,married,basic.4y,yes,no
146,42,blue-collar,married,basic.4y,no,no
147,35,admin.,single,high.school,yes,no
148,40,admin.,married,university.degree,yes,no
149,51,blue-collar,married,basic.4y,yes,no
150,60,blue-collar,married,basic.9y,no,no
151,56,entrepreneur,married,unknown,yes,no
152,39,services,divorced,high.school,yes,no
153,56,entrepreneur,married,unknown,no,no
154,40,blue-collar,married,unknown,yes,yes
155,36,blue-collar,married,basic.9y,yes,yes
156,51,blue-collar,married,unknown,yes,no
157,51,blue-collar,married,unknown,no,no
158,43,technician,single,professional.course,yes,no
159,59,services,married,high.school,no,no
160,24,management,single,university.degree,yes,no
161,37,blue-collar,single,basic.9y,yes,yes
162,40,blue-collar,married,basic.9y,no,no
163,42,blue-collar,married,basic.9y,no,no
164,39,services,divorced,high.school,no,no
165,37,entrepreneur,married,basic.6y,no,no
166,38,services,married,high.school,yes,yes
167,56,admin.,divorced,unknown,no,no
168,40,blue-collar,married,unknown,no,no
169,54,management,divorced,university.degree,yes,no
170,43,blue-collar,married,high.school,no,yes
171,36,services,married,high.school,no,no
172,45,technician,married,university.degree,yes,yes
173,42,admin.,single,university.degree,no,no
174,43,services,married,high.school,no,no
175,46,management,married,basic.9y,no,no
176,44,services,married,high.school,yes,yes
177,51,admin.,single,basic.6y,no,no
178,28,services,married,high.school,yes,no
179,37,blue-collar,married,basic.9y,no,no
180,34,technician,married,high.school,no,no
181,46,blue-collar,married,basic.6y,yes,no
182,42,blue-collar,married,basic.9y,yes,yes
183,36,admin.,married,university.degree,yes,no
184,54,blue-collar,married,basic.4y,no,no
185,57,management,married,university.degree,no,no
186,51,technician,married,basic.6y,no,no
187,54,retired,married,high.school,no,no
188,49,blue-collar,married,basic.4y,no,no
189,34,admin.,married,university.degree,yes,no
190,41,technician,married,professional.course,no,no
191,38,blue-collar,single,basic.9y,yes,no
192,45,management,divorced,university.degree,no,no
193,42,technician,married,university.degree,no,no
194,34,blue-collar,single,basic.9y,yes,no
195,48,blue-collar,married,basic.4y,yes,no
196,37,admin.,married,high.school,yes,no
197,34,blue-collar,single,basic.9y,no,no
198,40,admin.,married,basic.9y,yes,no
199,43,blue-collar,married,basic.6y,yes,no
